SMILES,Binary_Activity,QED
O=c1[nH]c(CN2CCCNC2)nc2c1sc1ccc(Cl)cc12,1,0.7558016938109278
O=c1[nH]c(CN2CC[C@H](O)C2)nc2c1sc1ccc(/C=C/C3CC3)cc12,1,0.7433279903734591
C=Cc1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1,1,0.8047375563603718
O=c1[nH]c(CN2CCC(O)CC2)nc2c1sc1ccc(Cl)cc12,1,0.7460641570226161
O=c1[nH]c(CNc2cccc(O)c2)nc2c1sc1ccc(Cl)cc12,1,0.5153331020011978
O=c1[nH]c(CNc2ccccc2O)nc2c1sc1ccc(Cl)cc12,1,0.48207368928951017
O=c1[nH]c(COc2cccc(O)c2)nc2c1sc1ccc(Cl)cc12,1,0.5784032631178497
O=c1[nH]c(CN2CCCCC2)nc2c1sc1ccc(Cl)cc12,1,0.7761178593585527
COc1cccc(NCc2nc3c(sc4ccc(Cl)cc43)c(=O)[nH]2)c1,1,0.557200707431171
O=c1[nH]c(CNc2cc(O)cc(O)c2)nc2c1sc1ccc(Cl)cc12,1,0.43741404667087214
CN(C)Cc1nc2c(sc3ccc(-c4ccc(C#N)cc4)cc32)c(=O)[nH]1,1,0.6039967589479784
CN(C)Cc1nc2c(sc3ccc(-c4cccc(F)c4)cc32)c(=O)[nH]1,1,0.6054502801525382
CN(C)Cc1nc2c(sc3ccc(-c4cccc(OC(F)(F)F)c4)cc32)c(=O)[nH]1,1,0.5180114952295359
O=c1[nH]c(CNCCc2ccccc2)nc2c1sc1ccc(Br)cc12,1,0.4807981943406452
O=c1[nH]c(CNc2ccc(O)cc2)nc2c1sc1ccc(Cl)cc12,1,0.48207368928951017
CN(C)Cc1nc2c(sc3ccc(N4CCCC4)cc32)c(=O)[nH]1,1,0.8031451841952216
C#Cc1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1,1,0.7333870347199998
CN(C)Cc1nc2c(sc3ccc(-c4ccc(N)cc4)cc32)c(=O)[nH]1,1,0.5550577511327277
O=c1[nH]c(CN2CC[C@@H](O)C2)nc2c1sc1ccc(Cl)cc12,1,0.754018198026334
