"SMILES","Binary_Activity"
"C=C[C@]1(C)C=C2[C@@H](O)[C@@H]3OC(=O)[C@@]4(C)CC[C@H]5C[C@]5([C@@H]34)[C@@]2(O)C(=O)C1",0
"C=C[C@@]1(C)C=C2C(=O)C(O)=C3[C@](C)(C(=O)O)CC[C@@H]4C[C@]34[C@]2(O)C(=O)C1",0
"Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21",1
"Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12",1
"CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4",1
"C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O",1
"Cn1c2c(c3ccc(Cl)c(Cl)c31)C(C#N)C1(CCNCC1)NC2=O",1
"FC(F)(F)Oc1cccc(-n2nnc3ccc(NCC4CCNCC4)nc32)c1",1
"CN(C)c1cccc(-n2nnc3ccc(NCC4CCNCC4)nc32)c1",1
"COc1cc(NCC2CCNCC2)nc2c1nnn2-c1cccc(OC(F)(F)F)c1",1
"COc1cc(NCC2CCNCC2)nc2c1nnn2-c1cccc(N(C)C)c1",1
"FC(F)(F)Oc1cccc(-n2nnc3cc(Cl)c(NCC4CCNCC4)nc32)c1",1
"CN1CCC(CNc2ccc3ncc(-c4cccc(OC(F)(F)F)c4)n3n2)CC1",1
"O=C1NC(=O)/C(=C/c2cccc(C(F)(F)F)c2)S1",1
"FC(F)(F)c1ccc(-c2nnc3ccc(NC4CCCCC4)nn23)cc1",1
"Nc1cncc(-c2ccc3noc(-c4ccc(C(F)(F)F)cc4)c3c2)n1",1
"N#Cc1c(-c2ccccc2)cc(-c2ccccc2O)[nH]c1=O",1
"CN1CCCN(c2cncc(-c3cccc(/C=C/C(=O)O)c3)n2)CC1",1
