"SMILES","Binary_Activity"
"NCCCCNc1cncc(-c2cccc(C=CC(=O)O)c2)n1",1
"CN1CCCN(c2cccc(-c3cccc(C=CC(=O)O)c3)n2)CC1",0
"CN1CCCN(c2cncc(-c3cccc(C=CC(=O)O)c3)n2)CC1",1
"NC1CCC(Nc2cncc(-c3cccc(C=CC(=O)O)c3)n2)CC1",1
"O=C(O)c1ccc(-c2cnc3ccc(NCC4CC4)nn23)cc1",0
"NCC(Cc1cccc(F)c1)NC(=O)c1cc(Br)c(-c2ccnc3[nH]ccc23)s1",1
"O=c1[nH]c(CN2CCC(O)C2)nc2c1sc1ccc(Cl)cc12",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccc(O)c(F)c4)cc32)c(=O)[nH]1",1
"CCc1ccc(-c2ccc3sc4c(=O)[nH]c(CN(C)C)nc4c3c2)cc1",1
"CCc1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1",1
"CN(C)CCc1nc2c(sc3ccc(Cl)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(Cl)cc32)c(=O)[nH]1",1
"O=c1[nH]c(CN2CCC(O)C2)nc2c1sc1ccc(-c3ccccc3)cc12",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccc[nH]4)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccoc4)cc32)c(=O)[nH]1",1
"CNCc1nc2c(sc3ccc(Cl)cc32)c(=O)[nH]1",1
"CN(C)CC#Cc1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1",1
"Cc1ccccc1-c1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1",1
"O=c1[nH]c(CNc2cccc(O)c2)nc2c1sc1ccc(-c3ccccc3)cc12",1
"O=c1[nH]c(CN2CCC(O)C2)nc2c1sc1ccc(-c3ccsc3)cc12",1
"CN(C)Cc1nc2c(sc3ccc(-c4cncnc4)cc32)c(=O)[nH]1",1
"CN(C)CCCc1nc2c(sc3ccc(Cl)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccccc32)c(=O)[nH]1",1
"CC(c1ccccc1)c1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1",1
"N#Cc1ccc(-c2ccc3sc4c(=O)[nH]c(CN5CCC(O)C5)nc4c3c2)cc1",1
"CN(C)Cc1nc2c(sc3ccc(N4CCCCC4)cc32)c(=O)[nH]1",1
"O=c1[nH]c(CN2CCCNC2)nc2c1sc1ccc(Cl)cc12",1
"O=c1[nH]c(CN2CCC(O)C2)nc2c1sc1ccc(C=CC3CC3)cc12",1
"C=Cc1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1",1
"O=c1[nH]c(CN2CCC(O)CC2)nc2c1sc1ccc(Cl)cc12",1
"O=c1[nH]c(CNc2cccc(O)c2)nc2c1sc1ccc(Cl)cc12",1
"O=c1[nH]c(CNc2ccccc2O)nc2c1sc1ccc(Cl)cc12",1
"O=c1[nH]c(COc2cccc(O)c2)nc2c1sc1ccc(Cl)cc12",1
"O=c1[nH]c(CN2CCCCC2)nc2c1sc1ccc(Cl)cc12",1
"COc1cccc(NCc2nc3c(sc4ccc(Cl)cc43)c(=O)[nH]2)c1",1
"O=c1[nH]c(CNc2cc(O)cc(O)c2)nc2c1sc1ccc(Cl)cc12",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccc(C#N)cc4)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(-c4cccc(F)c4)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(-c4cccc(OC(F)(F)F)c4)cc32)c(=O)[nH]1",1
"O=c1[nH]c(CNCCc2ccccc2)nc2c1sc1ccc(Br)cc12",1
"O=c1[nH]c(CNc2ccc(O)cc2)nc2c1sc1ccc(Cl)cc12",1
"CN(C)Cc1nc2c(sc3ccc(N4CCCC4)cc32)c(=O)[nH]1",1
"C#Cc1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccc(N)cc4)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccc(OC(F)(F)F)cc4)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccc(N(C)C)cc4)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccsc4)cc32)c(=O)[nH]1",1
"O=c1[nH]c(CNc2cccc(O)c2)nc2c1sc1ccc(-c3ccsc3)cc12",1
"Cc1ccc(NCc2nc3c(sc4ccc(Cl)cc43)c(=O)[nH]2)cc1O",1
"CN(C)Cc1nc2c(sc3ccc(-c4cccnc4)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccc(OCC(O)CO)cc4)cc32)c(=O)[nH]1",1
"O=c1[nH]c(CNc2ccccc2)nc2c1sc1ccc(Cl)cc12",1
"CN(C)Cc1nc2c(sc3ccc(Br)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(-c4cc(Cl)cc(Cl)c4)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccc(Cl)c(F)c4)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(C=CC4CC4)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccc(OCCCN)cc4)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(C#CCCCCN4CCCCC4)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(-c4cccc(Cl)c4)cc32)c(=O)[nH]1",1
"Cc1nc2c(sc3ccc(Cl)cc32)c(=O)[nH]1",1
"Cc1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1",1
